   0, 0.933,  2001, 0.953,    17, 0.927,    21, 0.947,    40, 0.927,    18,   2, 1.01, 0.50, 1.02
   1, 0.967,    52, 0.927,    24, 0.973,    30, 0.967,    37, 0.967,    40,   2, 1.01, 0.50, 1.03
   2, 0.980,    49, 0.933,    19, 0.947,    23, 0.980,    40, 0.960,    32,   2, 1.01, 0.50, 1.04
   3, 0.913,    47, 0.960,    26, 0.973,    68, 0.967,    37, 0.967,    44,   2, 1.01, 0.50, 1.05
   4, 0.967,    45, 0.947,    41, 0.947,    25, 0.973,    20, 0.947,    20,   2, 1.01, 0.50, 1.06
   5, 0.967,    32, 0.973,    37, 0.960,    25, 0.940,    51, 0.953,    39,   2, 1.01, 0.60, 1.02
   6, 0.907,    48, 0.967,    28, 0.933,    24, 0.933,    19, 0.907,    23,   2, 1.01, 0.60, 1.03
   7, 0.960,    42, 0.960,    23, 0.967,    24, 0.940,    40, 0.920,    23,   2, 1.01, 0.60, 1.04
   8, 0.920,    62, 0.947,    36, 0.947,    33, 0.940,    23, 0.947,    18,   2, 1.01, 0.60, 1.05
   9, 0.960,    27, 0.973,    23, 0.913,    21, 0.947,    33, 0.907,    77,   2, 1.01, 0.60, 1.06
  10, 0.927,    46, 0.953,    18, 0.967,   222, 0.973,    30, 0.960,    23,   2, 1.01, 0.70, 1.02
  11, 0.953,    18, 0.927,    26, 0.973,    32, 0.960,    79, 0.960,    50,   2, 1.01, 0.70, 1.03
  12, 0.953,    33, 0.980,    42, 0.933,    44, 0.947,    32, 0.960,    19,   2, 1.01, 0.70, 1.04
  13, 0.980,    48, 0.967,    22, 0.980,    54, 0.947,    28, 0.967,    30,   2, 1.01, 0.70, 1.05
  14, 0.933,    30, 0.940,    37, 0.960,    19, 0.973,    21, 0.973,    31,   2, 1.01, 0.70, 1.06
  15, 0.913,    27, 0.940,    21, 0.973,    35, 0.960,    22, 0.973,    30,   2, 1.01, 0.80, 1.02
  16, 0.973,    27, 0.953,    14, 0.953,    30, 0.940,    32, 0.933,    27,   2, 1.01, 0.80, 1.03
  17, 0.933,    41, 0.960,   106, 0.967,    88, 0.947,    30, 0.940,    28,   2, 1.01, 0.80, 1.04
  18, 0.967,    30, 0.973,    54, 0.960,    31, 0.933,  2001, 0.973,    26,   2, 1.01, 0.80, 1.05
  19, 0.947,    31, 0.907,    27, 0.967,    27, 0.953,    15, 0.920,    20,   2, 1.01, 0.80, 1.06
  20, 0.980,    17, 0.980,    28, 0.980,    54, 0.973,    69, 0.940,    29,   2, 1.01, 0.90, 1.02
  21, 0.973,    51, 0.973,    25, 0.960,    22, 0.967,    32, 0.960,    26,   2, 1.01, 0.90, 1.03
  22, 0.913,    23, 0.960,    35, 0.940,    18, 0.940,    14, 0.953,    25,   2, 1.01, 0.90, 1.04
  23, 0.947,    22, 0.980,    29, 0.967,    26, 0.953,    35, 0.980,    27,   2, 1.01, 0.90, 1.05
  24, 0.947,    32, 0.953,    26, 0.900,    24, 0.967,    31, 0.980,    43,   2, 1.01, 0.90, 1.06
  25, 0.967,    26, 0.953,    19, 0.980,    33, 0.960,    44, 0.913,    21,   2, 1.03, 0.50, 1.02
  26, 0.927,    24, 0.933,    44, 0.933,   103, 0.967,    76, 0.933,    44,   2, 1.03, 0.50, 1.03
  27, 0.967,    35, 0.973,    52, 0.927,    27, 0.953,    55, 0.953,    30,   2, 1.03, 0.50, 1.04
  28, 0.947,    49, 0.947,    27, 0.980,    30, 0.960,    23, 0.933,    27,   2, 1.03, 0.50, 1.05
  29, 0.973,    52, 0.940,    23, 0.960,    43, 0.947,    32, 0.960,    42,   2, 1.03, 0.50, 1.06
  30, 0.967,    32, 0.947,    23, 0.933,    26, 0.967,    36, 0.953,    52,   2, 1.03, 0.60, 1.02
