  0, 0.967,    47, 0.940,    54,   0.953,    61,  0.960,    76,  0.960,    90, 0.0200,   2, 1.0100, 0.5000, 1.0200, 
  1, 0.947,    65, 0.947,    68,   0.947,    63,  0.947,   180,  0.973,    89, 0.0196,   2, 1.0100, 0.5000, 1.0333, 
  2, 0.980,    38, 0.980,    45,   0.987,    66,  0.947,    67,  0.973,    82, 0.0200,   2, 1.0100, 0.5000, 1.0466, 
  3, 0.960,    99, 0.967,    65,   0.947,    43,  0.953,    60,  0.953,    46, 0.0200,   2, 1.0100, 0.5000, 1.0600, 
  4, 0.927,    79, 0.973,    45,   0.947,    63,  0.947,   125,  0.947,    48, 0.0200,   2, 1.0100, 0.6300, 1.0200, 
  5, 0.953,   173, 0.960,    38,   0.933,    90,  0.940,    43,  0.967,    80, 0.0199,   2, 1.0100, 0.6300, 1.0333, 
  6, 0.960,    83, 0.940,    51,   0.980,    46,  0.980,    44,  0.940,    46, 0.0200,   2, 1.0100, 0.6300, 1.0466, 
  7, 0.947,    72, 0.947,    54,   0.947,    68,  0.967,    60,  0.973,   134, 0.0197,   2, 1.0100, 0.6300, 1.0600, 
  8, 0.953,    46, 0.980,    62,   0.980,    98,  0.973,    77,  0.953,  1083, 0.0198,   2, 1.0100, 0.7600, 1.0200, 
  9, 0.953,    96, 0.953,    68,   0.940,    53,  0.953,   172,  0.973,    54, 0.0196,   2, 1.0100, 0.7600, 1.0333, 
 10, 0.940,    90, 0.953,    76,   0.953,    55,  0.960,   130,  0.953,   155, 0.0200,   2, 1.0100, 0.7600, 1.0466, 
 11, 0.960,    61, 0.967,    56,   0.967,    40,  0.987,  2001,  0.993,    54, 0.0196,   2, 1.0100, 0.7600, 1.0600, 
 12, 0.960,   110, 0.960,   101,   0.993,   123,  0.960,   701,  0.953,    76, 0.0200,   2, 1.0100, 0.9000, 1.0200, 
 13, 0.953,    41, 0.933,    43,   0.933,  2001,  0.960,    50,  0.967,    52, 0.0199,   2, 1.0100, 0.9000, 1.0333, 
 14, 0.960,   122, 0.967,   109,   0.993,    61,  0.967,   165,  0.993,    82, 0.0200,   2, 1.0100, 0.9000, 1.0466, 
 15, 0.947,    51, 0.967,   280,   0.947,    66,  0.960,    51,  0.987,   162, 0.0199,   2, 1.0100, 0.9000, 1.0600, 
 16, 0.940,    79, 0.967,   194,   0.953,    86,  0.947,    55,  0.960,   346, 0.0172,   2, 1.0366, 0.5000, 1.0200, 
 17, 0.967,    69, 0.973,    42,   0.980,  2001,  0.960,    63,  0.947,   150, 0.0193,   2, 1.0366, 0.5000, 1.0333, 
 18, 0.953,    69, 0.953,    54,   0.953,   121,  0.987,    56,  0.967,    50, 0.0200,   2, 1.0366, 0.5000, 1.0466, 
 19, 0.953,    54, 0.953,    57,   0.913,    57,  0.967,    59,  0.947,    74, 0.0197,   2, 1.0366, 0.5000, 1.0600, 
 20, 0.960,    56, 0.960,    54,   0.927,    46,  0.967,    56,  0.960,    88, 0.0199,   2, 1.0366, 0.6300, 1.0200, 
 21, 0.953,    61, 0.973,    66,   0.980,    43,  0.980,    70,  0.953,   123, 0.0191,   2, 1.0366, 0.6300, 1.0333, 
 22, 0.960,    53, 0.973,    94,   0.953,   108,  0.980,    80,  0.967,    76, 0.0197,   2, 1.0366, 0.6300, 1.0466, 
 23, 0.953,  2001, 0.960,  1501,   0.973,   102,  0.927,    39,  0.960,    47, 0.0713,   2, 1.0366, 0.6300, 1.0600, 
 24, 0.960,   159, 0.953,    88,   0.973,    71,  0.967,   189,  0.953,   129, 0.0199,   2, 1.0366, 0.7600, 1.0200, 
 25, 0.940,    35, 0.967,    57,   0.960,    71,  0.947,    43,  0.967,    68, 0.0197,   2, 1.0366, 0.7600, 1.0333, 
 26, 0.967,    60, 0.940,  1026,   0.987,   103,  0.940,    66,  0.960,   176, 0.0199,   2, 1.0366, 0.7600, 1.0466, 
 27, 0.960,    49, 0.960,   104,   0.980,    55,  0.960,    43,  0.920,    52, 0.0196,   2, 1.0366, 0.7600, 1.0600, 
 28, 0.960,    62, 0.960,   499,   0.967,   169,  0.940,    39,  0.973,    57, 0.0200,   2, 1.0366, 0.9000, 1.0200, 
 29, 0.967,    43, 0.947,    68,   0.960,    63,  0.960,    93,  0.953,    51, 0.0196,   2, 1.0366, 0.9000, 1.0333, 
 30, 0.940,    73, 0.913,    42,   0.953,    52,  0.973,    40,  0.927,   114, 0.0198,   2, 1.0366, 0.9000, 1.0466, 
 31, 0.947,   276, 0.960,    60,   0.953,   104,  0.940,    65,  0.967,    74, 0.0182,   2, 1.0366, 0.9000, 1.0600, 
 32, 0.953,   134, 0.953,    74,   0.940,    85,  0.953,    63,  0.967,    69, 0.0180,   2, 1.0633, 0.5000, 1.0200, 
 33, 0.953,    57, 0.960,    66,   0.947,    69,  0.973,    54,  0.953,    49, 0.0198,   2, 1.0633, 0.5000, 1.0333, 
 34, 0.973,    84, 0.953,    84,   0.947,    41,  0.987,    79,  0.980,    72, 0.0200,   2, 1.0633, 0.5000, 1.0466, 
 35, 0.967,    84, 0.960,   138,   0.960,    89,  0.953,    59,  0.980,    40, 0.0194,   2, 1.0633, 0.5000, 1.0600, 
 36, 0.947,  2001, 0.960,    91,   0.940,    49,  0.967,    70,  0.960,    69, 0.0276,   2, 1.0633, 0.6300, 1.0200, 
 37, 0.967,    43, 0.980,    47,   0.933,    80,  0.940,    41,  0.953,    61, 0.0199,   2, 1.0633, 0.6300, 1.0333, 
 38, 0.960,    86, 0.953,    93,   0.987,    39,  0.940,   139,  0.953,    38, 0.0199,   2, 1.0633, 0.6300, 1.0466, 
 39, 0.973,    52, 0.953,    43,   0.967,   110,  0.947,    88,  0.893,    66, 0.0198,   2, 1.0633, 0.6300, 1.0600, 
 40, 0.967,   100, 0.967,    65,   0.953,    55,  0.947,    72,  0.960,    62, 0.0200,   2, 1.0633, 0.7600, 1.0200, 
 41, 0.980,   103, 0.900,    45,   0.947,    61,  0.960,   107,  0.953,    73, 0.0192,   2, 1.0633, 0.7600, 1.0333, 
